id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,66,Czy w Kodeksie Etyki Lekarskiej (KEL) znajduje się unormowanie regulujące powinności lekarza w sprawie szczepień ochronnych?,,"w KEL nie ma żadnego stwierdzenia, które można byłoby odnieść do szczepień ochronnych.","tak, lekarz ma obowiązek prowadzenia szczepień ochronnych dla dobra społeczeństwa, nawet wbrew woli pacjenta.","jest unormowanie pośrednie, z którego wynika, że powołaniem lekarza jest również zapobieganie chorobom.","tak, lekarz działając zgodnie ze swoim powołaniem zapobiegania chorobom może zaszczepić dziecko wbrew woli rodziców.",prawdziwe są odpowiedzi B i D.,bioetyka_i_prawo_medyczne,,,,
,67,"Zgodnie z przepisami ustawy o zawodach lekarza i lekarza dentysty, po śmierci pacjenta tajemnica lekarska:",,"może być ujawniona każdej osobie, gdyż śmierć chorego powoduje zwolnienie lekarza z obowiązku jej przestrzegania.",jest bezwzględnie chroniona i żaden podmiot nie może lekarza z niej zwolnić.,może być ujawniona za zgodą właściwej miejscowo okręgowej rady lekarskiej.,"może być ujawniona, jeśli po śmierci pacjenta zgodzi się na to jego osoba bliska w rozumieniu ustawy o prawach pacjenta i Rzeczniku Praw Pacjenta.","może być ujawniona, jeśli lekarz uzna, że nie szkodzi to dobru pacjenta i potwierdzi to przekonanie po konsultacji z innym lekarzem.",bioetyka_i_prawo_medyczne,,,,
,68,Czy lekarz może uczestniczyć w czynnościach mających na celu wywoływanie dziedzicznych zmian genetycznych u człowieka?,,obszar ten jest nieuregulowany.,"nie, jest to zakaz wynikający z Kodeksu karnego.","nie, choć jest to tzw. zakaz niedoskonały - wynika on bowiem z nieobowiązującej w Polsce Europejskiej Konwencji Bioetycznej.",lekarzowi zabrania się wykonywać podobnych działań - zakaz taki jest wyrażony wprost w ustawie o zawodach lekarza i lekarza dentysty.,lekarzowi zabrania się wykonywać podobnych działań - zakaz taki jest wyrażony wprost w Kodeksie Etyki Lekarskiej.,bioetyka_i_prawo_medyczne,,,,
,69,W pełni zdolny do wyrażenia uświadomionej zgody uczestnik niekomercyjnego badania klinicznego prowadzonego przez uczelnię medyczną:,,"musi zostać zapoznany z celami, ryzykiem i niedogodnościami związanymi z tym badaniem klinicznym oraz warunkami, w jakich ma ono zostać przeprowadzone i może wycofać się z badania klinicznego w każdej chwili.","musi zostać zapoznany z celami badania klinicznego oraz warunkami, w jakich ma ono zostać przeprowadzone i może wycofać się z badania klinicznego w każdej chwili.","musi zostać zapoznany z ryzykiem związanym z badaniem klinicznym i nie może wycofać się z badania, jeżeli wyraził pisemną zgodę na wzięcie w nim udziału.","musi zostać zapoznany z ryzykiem związanym z badaniem klinicznym i może wycofać się z badania pod warunkiem, że ureguluje koszty poniesione przez uczelnię i badacza.","musi zostać zapoznany z celami badania klinicznego i może wycofać się z badania pod warunkiem, że ureguluje koszty poniesione przez uczelnię i badacza.",bioetyka_i_prawo_medyczne,,,,
,70,"Oceń prawdziwość zdania: „W przypadku chorego nieprzytomnego lekarz może udzielić dla dobra chorego, niezbędnych informacji osobie, co do której jest przekonany, że działa ona w interesie chorego”:",,"zdanie to jest prawdziwe, stanowi część zapisów Kodeksu Etyki Lekarskiej.",zdanie to nie jest prawdziwe.,"zdanie to jest prawdziwe, stanowi część Ustawy o prawach pacjenta i Rzeczniku Praw Pacjenta.","zdanie to jest prawdziwe, stanowi część Ustawy o zawodach lekarza i lekarza dentysty.","jest to zdanie nieprawdziwe, lekarz może udzielić informacji w takiej sytuacji tylko opiekunowi prawnemu pacjenta.",bioetyka_i_prawo_medyczne,,,,
,71,"U 67-letniej pacjentki rozpoznano nowotwór złośliwy kości szczęki. Pacjentce zaproponowano rozległy zabieg operacyjny, polegający na usunięciu połowy kości szczęki razem z zębami i podniebieniem twardym, co spowodowałoby upośledzenie mowy, utrudnienie przyjmowania pokarmów i zmianę wyglądu zewnętrznego (blizna i asymetria twarzy). Pacjentka kategorycznie sprzeciwiła się operacji, argumentując, że nie chce być oszpecona. Mimo tego sprzeciwu lekarz, nie proponując alternatywnego leczenia, nadal namawiał pacjentkę na wyrażenie zgody, także w obecności jej dzieci akceptujących operację. Pacjentka zdecydowała się tylko na leczenie paliatywne. Po kolejnych namowach lekarza i jej dzieci pacjentka uległa i zgodziła się na proponowane przez lekarza leczenie. Czy postawa lekarza, polegająca na namawianiu pacjentki, niezaproponowaniu alternatywnego leczenia i angażowaniu jej dzieci w proces podejmowania przez pacjentkę decyzji co do interwencji medycznej, miała uzasadnienie etyczne?",,"tak, lekarz działał w imię dobra pacjentki.","nie, lekarz poprzez namawianie pacjentki i posłużenie się presją rodziny zignorował autonomiczną decyzję pacjentki - wymusił na niej zgodę na operację.","tak, proponowany zabieg operacyjny był zgodny z aktualnym stanem wiedzy medycznej.","tak, lekarz uwzględnił życzenia najbliższych, którzy działali w imię dobra pacjentki.","nie, lekarz miał prawo wymusić zmianę decyzji pacjentki, uznając, że dobro chorej tego wymaga, lecz nie miał prawa angażować rodziny w podejmowanie decyzji przez pacjentkę.",bioetyka_i_prawo_medyczne,,,,
,72,Prawo pacjenta do informacji obejmuje:,,udzielenie pacjentowi informacji tylko o jego stanie zdrowia.,"udzielenie pacjentowi przystępnej informacji o jego stanie zdrowia, rozpoznaniu, proponowanych oraz możliwych metodach diagnostycznych, leczniczych, dających się przewidzieć następstwach ich zastosowania albo zaniechania, wynikach leczenia oraz rokowaniu.","udzielenie pacjentowi przystępnej informacji o jego stanie zdrowia, rozpoznaniu, proponowanych oraz możliwych metodach diagnostycznych, leczniczych, o wszystkich następstwach ich zastosowania albo zaniechania, wynikach leczenia oraz rokowaniu.",udzielenie informacji osobie bliskiej pacjenta nawet wbrew żądaniu pacjenta jej nieudzielania.,udzielenie pacjentowi tylko ogólnej informacji o zabiegu.,bioetyka_i_prawo_medyczne,,,,
,73,"Do szpitala zgłasza się kobieta, dla której jedyną szansą przeżycia jest obecnie przeszczepienie szpiku, a poszukiwania dawcy zakończyły się niepowodzeniem. Wyniki badań antygenów zgodności tkankowej wskazują, iż małoletni syn kobiety mógłby być odpowiednim dawcą. Pobranie szpiku od małoletniego w celu przeczepienia go matce małoletniego:",,nie jest możliwe.,jest możliwe jedynie od małoletnich powyżej 16. roku życia.,jest możliwe jedynie w sytuacji bezpośredniego niebezpieczeństwa utraty życia matki oraz gdy nie znaleziono innego dawcy.,jest możliwe po uzyskaniu zgody małoletniego w formie pisemnej oraz zgody Komisji Etycznej Krajowej Rady Transplantacyjnej.,"jest możliwe po uzyskaniu zgody małoletniego w formie pisemnej, zgody Komisji Etycznej Krajowej Rady Transplantacyjnej oraz zgody sądu.",bioetyka_i_prawo_medyczne,,,,
,74,Zadaniem okręgowej izby lekarskiej nie jest:,,"udzielanie informacji zainteresowanym lekarzom dotyczących ogólnych zasad wykonywania zawodu, zasad etyki lekarskiej, a także o przepisach dotyczących ochrony zdrowia.",prowadzenie rejestru indywidualnych praktyk lekarskich w Rejestrze Podmiotów Wykonujących Działalność Leczniczą.,prowadzenie instytucji samopomocowych i innych form pomocy materialnej dla lekarzy i członków ich rodzin.,prowadzenie rejestru grupowych praktyk lekarskich w Rejestrze Podmiotów Wykonujących Działalność Leczniczą.,prowadzenie rejestru czynności przetwarzania danych osobowych w związku z wykonywaną przez członków samorządu działalnością leczniczą.,bioetyka_i_prawo_medyczne,,,,
,75,"Do szpitala zostaje przywieziony mężczyzna, który wymaga przeprowadzenia zabiegu dializy. Ze względu na swój stan nie może udzielić skutecznej zgody. W takim przypadku lekarz może wykonać zabieg:
1) po uzyskaniu zgody swego przełożonego;
2) po uzyskaniu zgody żony lub innej osoby bliskiej pacjenta;
3) po wydaniu orzeczenia o ubezwłasnowolnieniu chorego przez sąd opiekuńczy, właściwy ze względu na ostatnie jego miejsce zamieszkania;
4) po uzyskaniu zezwolenia sądowego;
5) w sytuacji, gdy zwłoka mogłaby spowodować niebezpieczeństwo utraty życia albo ciężkiego uszkodzenia ciała lub ciężkiego uszczerbku na zdrowiu, bez niczyjej zgody, powinien jednak w miarę możliwości skonsultować się z innym lekarzem najlepiej tej samej specjalności.
Prawidłowa odpowiedź to:",,"1,4.","4,5.","1,3.","2,4.","1,5.",bioetyka_i_prawo_medyczne,,,,
,76,"Jeżeli lekarz nie udzieli pacjentowi, który kwalifikuje się do dalszego leczenia, informacji o proponowanych oraz możliwych metodach diagnostycznych i leczniczych:",,lekarz nie ponosi odpowiedzialności prawnej - nie ma obowiązku udzielania informacji o proponowanych oraz możliwych metodach diagnostycznych i leczniczych.,"lekarz naraża się na poniesienie odpowiedzialności cywilnej - pacjent może żądać zadośćuczynienia pieniężnego, a ponadto lekarz podlega odpowiedzialności zawodowej.",lekarz naraża się na poniesienie odpowiedzialności karnej - nieprzekazanie informacji jest przestępstwem ściganym z oskarżenia prywatnego.,"lekarz nie ponosi odpowiedzialności cywilnej, a jedynie może odpowiadać przed sądem lekarskim.","lekarz naraża się na poniesienie odpowiedzialności cywilnej - pacjent może żądać odszkodowania, którego wysokość ustala komisja działająca przy właściwym wojewodzie.",bioetyka_i_prawo_medyczne,,,,
,77,"Czy wobec osoby, u której podejrzewa się wystąpienie choroby szczególnie zakaźnej, zagrażającej zdrowiu lub życiu można zastosować środki przymusu bezpośredniego celem zmuszenia jej do poddania się czynnościom leczniczym?",,"nie, polskie przepisy nie regulują tej kwestii.","tak, jest taka możliwość, ale wyłącznie za zgodą sądu opiekuńczego lub (zastępczo) prokuratora.","tak, na takie działanie zezwalają przepisy ustawy o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi.","nie, przymus bezpośredni może być zastosowany wyłącznie w placówkach psychiatrycznych.","tak, istnieje taka możliwość, ale wyłącznie za zgodą Głównego Inspektora Sanitarnego.",bioetyka_i_prawo_medyczne,,,,
,78,Tak zwana „klauzula sumienia” reguluje:,,"prawo pacjenta do odmowy zgody na proponowane świadczenie zdrowotne, które jest niezgodne z jego sumieniem.","prawo lekarza do odmowy wykonania świadczenia zdrowotnego, które jest niezgodne z jego sumieniem.",prawo pacjenta do odmowy przyjęcia informacji na temat swojego stanu zdrowia i proponowanych metod leczenia.,"prawo lekarza do tego, aby w wyjątkowych przypadkach i ze względu na dobro pacjenta powstrzymać się od udzielenia pacjentowi pełnej informacji o stanie jego zdrowia i niepomyślnym rokowaniu.","prawo lekarza do tego, aby w wyjątkowych przypadkach i ze względu na dobro pacjenta udzielić kompetentnemu pacjentowi świadczenia zdrowotnego wbrew sprzeciwowi tego pacjenta.",bioetyka_i_prawo_medyczne,,,,
,79,"Jakimi kryteriami wg Kodeksu Etyki Lekarskiej powinien kierować się lekarz ustalający kolejność pacjentów w przypadkach wymagających szczególnych form terapii, które nie mogą być zastosowane równocześnie u wszystkich potrzebujących?",,kryteriami medycznymi.,kryteriami społecznymi.,kryteriami ekonomicznymi.,prawdziwe są odpowiedzi A i B.,prawdziwe są odpowiedzi A i C.,bioetyka_i_prawo_medyczne,,,,
,80,"Przywołana w Kodeksie Etyki Lekarskiej stara łacińska maksyma „Salus aegroti suprema lex esto” oznacza, że obowiązkiem moralnym lekarza jest:",,działać dla dobra chorego.,traktować pacjenta w sposób życzliwy i kulturalny.,działać zgodnie z własnym sumieniem.,stać na straży godności zawodu lekarza.,bezwzględnie przestrzegać prawa.,bioetyka_i_prawo_medyczne,,,,
,81,"Pewnego pacjenta na dwa dni przed jego śmiercią odwiedził wysoki przedstawiciel obcego państwa i wręczył mu odznaczenie. Lekarz był świadkiem tego wydarzenia, ponieważ badał w tym czasie innego chorego. Zgodnie z Kodeksem Etyki Lekarskiej powinien:",,poinformować o tym władze w trosce o własne bezpieczeństwo.,poinformować o tym władze w trosce o bezpieczeństwo Państwa.,przekazać niezwłocznie informację Rzecznikowi Prasowemu Szpitala.,może przekazać taką informację dopiero po śmierci chorego.,zachować tę informację w tajemnicy.,bioetyka_i_prawo_medyczne,,,,
,82,"Lekarz stwierdza, że rokowanie jest niepomyślne dla pacjenta i przekazanie mu takich złych wieści może godzić w jego dobro. Jak, w myśl przepisów prawa, może się wówczas zachować?",,"musi przekazać pełną informację, gdyż bez względu na stan pacjenta podstawowym jego prawem jest uzyskanie takiej informacji.","może całkowicie odstąpić od informowania chorego i pełną informację przekazać osobie, co do której wie, że działa ona w interesie tego pacjenta.","może ograniczyć informację o stanie zdrowia i rokowaniu, przekazywaną pacjentowi.","może wprowadzić w błąd pacjenta i powiedzieć mu, że rokowania są dobre.",może ograniczyć się jedynie do przekazania pacjentowi swych zaleceń i przemilczeć pozostałe kwestie.,bioetyka_i_prawo_medyczne,,,,
,83,Czy na terenie innego szpitala niż psychiatryczny można stosować przymus bezpośredni wobec pacjenta?,,taką możliwość ma tylko odpowiednio przeszkolona pielęgniarka.,taka możliwość istnieje na podstawie przepisów ustawy o ochronie zdrowia psychicznego.,działania te są możliwe na podstawie zgody dyrektora szpitala.,możliwość taka istnieje na podstawie ustawy o prawach pacjenta.,nie ma takiej możliwości.,bioetyka_i_prawo_medyczne,,,,
,84,Podstawą do wypisania pacjenta ze szpitala nie jest:,,"odmowa poddania się przez pacjenta jednej z metod leczenia, którą zaproponował mu lekarz.","żądanie wypisania dziecka, skierowane do lekarza przez rodziców małoletniego pacjenta, któremu nie przeciwstawił się w swoim orzeczeniu powiadomiony właściwy sąd opiekuńczy.","wystąpienie okoliczności wskazujących, że stan zdrowia pacjenta nie wymaga dalszego udzielania świadczeń zdrowotnych w tym zakładzie leczniczym.",żądanie dorosłego pacjenta wypisania ze szpitala.,"rażące naruszanie porządku lub przebiegu procesu udzielania świadczeń zdrowotnych przez pacjenta, gdy jednocześnie nie zachodzi obawa, że odmowa lub zaprzestanie udzielania świadczeń zdrowotnych może spowodować bezpośrednie niebezpieczeństwo dla jego życia lub zdrowia albo życia lub zdrowia innych osób.",bioetyka_i_prawo_medyczne,,,,
,85,"Lekarz ma wykonać transfer jądra komórki jajowej do cytoplazmy komórki jajowej innej kobiety, tak aby w wyniku zapłodnienia in vitro urodziło się dziecko wolne od wad związanych z dziedziczeniem mitochondrialnym. Zgodnie z Kodeksem Etyki Lekarskiej jest to:",,czyn godny pochwały.,"dopuszczalne, tylko jeżeli ryzyko wad wrodzonych jest duże.","zabronione, ponieważ nie wolno przeprowadzać eksperymentów na embrionach ludzkich.","zabronione, ponieważ wywołałby dziedziczne zmiany genetyczne u człowieka.",Kodeks Etyki Lekarskiej nie odnosi się do tego problemu.,bioetyka_i_prawo_medyczne,,,,
,86,W prawie polskim tajemnica lekarska obejmuje:,,"wszystkie informacje, które lekarz posiada na temat pacjenta i jego rodziny.","wszystkie informacje związane z pacjentem, które lekarz uzyskał w związku z wykonywaniem zawodu medycznego.","wyłącznie informacje dotyczące zdrowia i leczenia pacjenta, które lekarz uzyskał w związku z wykonywaniem zawodu medycznego.","wyłącznie informacje związane z pacjentem, które lekarz uzyskał od samego pacjenta lub na podstawie przeprowadzonych badań.",wyłącznie informacje zawarte w dokumentacji medycznej.,bioetyka_i_prawo_medyczne,,,,
,87,"Minister Zdrowia wydał rozporządzenie, w którym określił sposób leczenia pewnej choroby. W 6 miesięcy później lekarz przeczytał nową publikację naukową z której jednoznacznie wynikało, że określony w rozporządzeniu sposób leczenia jest szkodliwy dla chorych. Zgodnie z Kodeksem Etyki Lekarskiej powinien:",,leczyć chorych zgodnie z rozporządzeniem ministra do czasu jego nowelizacji.,odmówić leczenia chorych do czasu nowelizacji rozporządzenia.,odmówić leczenia chorych powołując się na klauzulę sumienia.,leczyć chorych zgodnie z dostępną wiedzą medyczną wbrew rozporządzeniu.,Kodeks Etyki Lekarskiej nie odnosi się do takich sytuacji.,bioetyka_i_prawo_medyczne,,,,
,88,"Lekarz może udzielić świadczenia zdrowotnego małoletniemu pacjentowi, który ukończył lat 16:",,bez uzyskania jakiejkolwiek zgody.,"po uzyskaniu zgody pacjenta, ale bez zgody jego przedstawiciela ustawowego.","po uzyskaniu zgody przedstawiciela ustawowego, ale bez zgody pacjenta.","bez zgody pacjenta, ale po uzyskaniu zgody jego rodziców.",po uzyskaniu zgody pacjenta i jego przedstawiciela ustawowego.,bioetyka_i_prawo_medyczne,,,,
,89,W myśl ustawy o działalności leczniczej sekcja zwłok co do zasady jest przeprowadzana po upływie co najmniej:,,6 godzin od stwierdzenia zgonu.,12 godzin od stwierdzenia zgonu.,24 godzin od stwierdzenia zgonu.,12 godzin od wystawienia aktu zgonu.,24 godzin od wystawienia karty zgonu.,bioetyka_i_prawo_medyczne,,,,
,90,Eksperyment medyczny z udziałem człowieka może być przeprowadzony:,,pod nadzorem specjalisty prawa medycznego.,wyłącznie pod nadzorem lekarza posiadającego odpowiednio wysokie kwalifikacje.,"wyłącznie pod nadzorem lekarza, będącego pracownikiem uniwersytetu medycznego.",pod nadzorem bioetyka.,pod nadzorem antropologa.,bioetyka_i_prawo_medyczne,,,,
,91,Terminem „przywilej terapeutyczny” określa się:,,prawo pacjenta do uzyskania dostępu do najbardziej nowoczesnych i zaawansowanych procedur medycznych.,"prawo lekarza do decydowania o tym, który z pacjentów potrzebujących deficytowego świadczenia zdrowotnego otrzyma je w pierwszej kolejności.","prawo lekarza do tego, aby w wyjątkowych przypadkach i ze względu na dobro pacjenta powstrzymać się od udzielenia pacjentowi pełnej informacji o stanie jego zdrowia i niepomyślnym rokowaniu.",prawo pacjenta do uzyskania dostępu do dotyczącej go dokumentacji medycznej.,"prawo lekarza do tego, aby w wyjątkowych przypadkach i ze względu na dobro pacjenta udzielić kompetentnemu pacjentowi świadczenia zdrowotnego wbrew sprzeciwowi tego pacjenta.",bioetyka_i_prawo_medyczne,,,,
,92,"Chory, zgodnie z zaleceniami Amerykańskiego Towarzystwa Naukowego, powinien być leczony lekiem A, a według stanowiska Europejskiego Towarzystwa Naukowego lekiem B. Zgodnie z Kodeksem Etyki Lekarskiej pracujący w Polsce lekarz:",,"powinien stosować lek A, bo „zalecenia” są formą mocniejszą niż „stanowisko”.","powinien stosować lek A, jeżeli pacjent jest obywatelem USA, a lek B, jeśli jest Europejczykiem.","powinien stosować lek B, ponieważ Polska jest w Unii Europejskiej.",powinien stosować lek zgodny z wytycznymi Polskiego Towarzystwa Naukowego.,ma swobodę wyboru leku.,bioetyka_i_prawo_medyczne,,,,
,93,Lekarz nie jest uprawniony do udzielenia informacji o stanie zdrowia nieprzytomnej pacjentki (w wieku 54 lat):,,wnuczce tej pacjentki.,synowej tej pacjentki.,mężowi tej pacjentki.,kuzynowi tej pacjentki.,konkubentowi tej pacjentki.,bioetyka_i_prawo_medyczne,,,,
,94,Czy osoba ubezwłasnowolniona może zgłosić sprzeciw wobec jej przyjęcia do szpitala?,,nie - decyzję podejmuje wyłącznie opiekun prawny.,nie - decyzję podejmuje wyłącznie sąd opiekuńczy.,tak - jeśli jest pełnoletnia.,tak - jeśli posiada rozeznanie co do sytuacji i rozumie kierowane do niej komunikaty.,tak - ale tylko w przypadku szpitala psychiatrycznego.,bioetyka_i_prawo_medyczne,,,,
,95,"Zgodnie z ustawą o prawach pacjenta i Rzeczniku Praw Pacjenta, pacjent ma prawo do:
1) wyrażenia zgody na udzielenie określonych świadczeń zdrowotnych;
2) odmowy zgody na udzielenie określonych świadczeń zdrowotnych;
3) bezpłatnej informacji o prawach pacjenta określonych w tej ustawie;
4) bezpłatnego wyciągu, odpisu, kopii lub wydruku dokumentacji medycznej;
5) bezpłatnej pomocy prawnej z zakresu prawa medycznego i ubezpieczeń zdrowotnych.
Prawidłowa odpowiedź to:",,wszystkie wymienione.,"1,2,4,5.","1,2,3.","3,4,5.","1,2,3,4.",bioetyka_i_prawo_medyczne,,,,
,96,"Warunkiem koniecznym, dopuszczającym możliwość pobierania komórek, tkanek lub narządów od zmarłej osoby dorosłej w celu ich przeszczepienia jest:",,wyrażenie przez tę osobę za życia zgody na przeszczep.,niewyrażenie sprzeciwu osoby zmarłej za jej życia.,uzyskanie zezwolenia sądu opiekuńczego po śmierci tej osoby lub za jej życia.,niewyrażenie sprzeciwu przez osobę bliską zmarłego.,wyrażenie przez osobę bliską zmarłego zgody na przeszczep.,bioetyka_i_prawo_medyczne,,,,
,97,"W świetle polskiego prawa, pobrania komórek, tkanek lub narządów ze zwłok ludzkich w celu ich przeszczepienia można dokonać, jeśli:",,osoba zmarła wyraziła za życia zgodę na zostanie dawcą po śmierci.,"rodzina osoby zmarłej nie sprzeciwia się pobraniu komórek, tkanek lub narządów z jej zwłok.","osoba zmarła wyraziła za życia zgodę na zostanie dawcą po śmierci i jej rodzina nie sprzeciwia się pobraniu komórek, tkanek lub narządów z jej zwłok.",osoba zmarła nie wyraziła za życia sprzeciwu.,osoba zmarła zarejestrowała się za życia w Centralnym Rejestrze Dawców.,bioetyka_i_prawo_medyczne,,,,
,98,"Zgodnie z Ustawą z dnia 1 lipca 2005 r. o pobieraniu, przechowywaniu i przeszczepianiu komórek, tkanek i narządów, w przypadku dawców poniżej 18. roku życia:
1) dawstwo narządów nie jest możliwe;
2) dawstwo narządów jest możliwe jedynie na rzecz rodzeństwa, gdy istnieje niebezpieczeństwo utraty życia kandydata na biorcę a pozyskanie narządu ze zwłok nie jest możliwe;
3) dawstwo szpiku nie jest możliwe;
4) dawstwo szpiku lub komórek krwiotwórczych krwi obwodowej jest możliwe jedynie na rzecz rodzeństwa w sytuacji bezpośredniego niebezpieczeństwa utraty życia kandydata na biorcę;
5) dawstwo szpiku jest możliwe na rzecz osoby spokrewnionej w linii prostej.
Prawidłowa odpowiedź to:",,"1,3.","1,4.","1,5.","2,4.","2,5.",bioetyka_i_prawo_medyczne,,,,
,99,"Jednym z podstawowych obowiązków lekarza jest zachowanie tajemnicy lekarskiej. Po śmierci pacjentki, w szpitalu pojawiła się jej pełnoletnia siostra z prośbą o udostępnienie jej dokumentacji zmarłej dotyczącej pobytu w tym podmiocie leczniczym. W tej sytuacji lekarz:",,"powinien odmówić siostrze zmarłej pacjentki, motywując tę decyzję prawnym i etycznym obowiązkiem zachowania tajemnicy lekarskiej.",powinien zezwolić siostrze zmarłej pacjentki wyłącznie na skorzystanie z prawa wglądu do dokumentacji.,"powinien przeprowadzić rozmowę z wszystkimi bliskimi członkami rodziny zmarłej i udostępnić dokumentację tej osobie, która wg niego była najbardziej związana z pacjentką.","powinien udostępnić dokumentację medyczną zmarłej pacjentki każdej osobie bliskiej, która wystąpi z takim żądaniem, chyba, że pacjentka za życia sprzeciwiła się temu.","nie powinien udostępnić dokumentacji medycznej, a może jedynie udzielić siostrze zmarłej pacjentki ustnej informacji o przyczynie zgonu.",bioetyka_i_prawo_medyczne,,,,
,100,"Powołując się na klauzulę sumienia, lekarz ma obowiązek:",,uzyskać zgodę przełożonego na skorzystanie z tej formy odmowy udzielenia świadczenia medycznego.,odnotować ten fakt w dokumentacji medycznej.,wskazać pacjentowi realną możliwość skorzystania z danej interwencji medycznej u innego lekarza lub w innym podmiocie leczniczym.,skonsultować swoją decyzję z innym lekarzem specjalistą w tej samej dziedzinie medycyny.,przedstawić swoją decyzję o odmowie wykonania świadczenia w formie pisemnej.,bioetyka_i_prawo_medyczne,,,,
,101,"Wskaż, kiedy lekarz onkolog może ograniczyć informację udzielaną pacjentowi o stanie jego zdrowia i o rokowaniu:",,w sytuacji ogłoszenia stanu epidemii.,"na żądanie osoby bliskiej pacjenta, jeśli pacjent jest pełnoletni, przytomny i zdolny do zrozumienia znaczenia informacji, ale taka jest wola osoby bliskiej.","na żądanie Rzecznika Praw Lekarza, działającego przy Okręgowej Izbie Lekarskiej.",ze względu na udział pacjenta w badaniu klinicznym.,jeżeli rokowanie jest niepomyślne dla pacjenta a wg oceny lekarza przemawia za tym dobro pacjenta.,bioetyka_i_prawo_medyczne,,,,
,103,"Do przychodni podstawowej opieki zdrowotnej zgłasza się pacjent, u którego badający lekarz stwierdza objawy wskazujące na podejrzenie zachorowania na chorobę szczególnie niebezpieczną i wysoce zakaźną. W tej sytuacji decyzję o skierowaniu pacjenta na przymusową izolację podejmuje:",,państwowy powiatowy inspektor sanitarny.,kierownik przychodni.,"lekarz, który zbadał tego pacjenta.","dyrektor szpitala zakaźnego, którego powiadomiono o potrzebie izolacji tego pacjenta.","lekarz specjalista chorób zakaźnych, którego wezwano na konsultacje lub z którym przeprowadzono konsultację telefoniczną.",bioetyka_i_prawo_medyczne,,,,
,104,"Lekarz kierujący eksperymentem medycznym przeprowadza procedurę uzyskania świadomej zgody od uczestników badania. Uczestnikami są osoby małoletnie, które ukończyły 13. rok życia, a nie ukończyły jeszcze 16. roku życia. Lekarz ma obowiązek uzyskać zgodę:",,wyłącznie od przedstawicieli ustawowych tych małoletnich uczestników.,"wyłącznie od małoletnich uczestników, którzy ukończywszy 13. rok życia uzyskali pełną zdolność do czynności prawnych.",zarówno od przedstawicieli ustawowych uczestników jak i od samych uczestników.,"od sądu opiekuńczego, ponieważ tylko ten organ jest w stanie obiektywnie ocenić ryzyko uczestnictwa w eksperymencie i zadbać o dobro małoletniego uczestnika.","od przedstawiciela ustawowego małoletniego uczestnika oraz od jego lekarza podstawowej opieki zdrowotnej, który najlepiej zna stan zdrowia pacjenta i jest w stanie ocenić stosunek ryzyka udziału w badaniu do korzyści z niego wynikających.",bioetyka_i_prawo_medyczne,,,,
,105,"Lekarz, po zapoznaniu się z wynikami zleconych przez siebie badań diagnostycznych, informuje pacjenta o rozpoznaniu, które jest niekorzystne dla chorego. Pacjent przerywa lekarzowi i stwierdza, że nie chce więcej nic na temat swojej choroby wiedzieć. W tej sytuacji lekarz powinien:",,"odstąpić od informowania chorego, ponieważ ustawodawca zwalnia go z tego obowiązku na żądanie pacjenta.","kontynuować realizację obowiązku informacyjnego, jako warunku udzielenia lub odmowy przez pacjenta uświadomionej zgody na leczenie.","przekonać pacjenta, że ma on obowiązek przyjąć wszelkie informacje na temat swojego stanu zdrowia.",przekazać informacje na temat stanu zdrowia pacjenta upoważnionej przez niego osobie.,"zwołać konsylium składające się z trzech lekarzy, w tym co najmniej dwóch specjalistów z dziedziny, której dotyczy rozpoznanie i przekazać pacjentowi informację w tak poszerzonym składzie.",bioetyka_i_prawo_medyczne,,,,
,106,Kto może reprezentować pokrzywdzonego w postępowaniu przed izbą lekarską?,,prokurator.,prezes urzędu do spraw ofiar błędów medycznych.,rzecznik odpowiedzialności zawodowej.,Rzecznik Praw Pacjenta.,"lekarz, adwokat lub radca prawny.",bioetyka_i_prawo_medyczne,,,,
,107,"Na SOR trafia pacjent z rozpoznaniem rozległego udaru mózgu. Komunikacja z pacjentem jest niemożliwa, ponieważ ma poważne zaburzenia mowy i utrudnioną percepcję. Lekarz stwierdza, że pacjent wymaga natychmiastowej pomocy lekarskiej. Czy może działać, podejmując się leczenia bez zgody pacjenta?",,"nie, ponieważ prawo a także zasady etyki lekarskiej zakazują jakiejkolwiek interwencji medycznej bez zgody pacjenta.","tak, ponieważ ustawa o zawodach lekarza i lekarza dentysty dopuszcza, na zasadzie wyjątku, możliwość interwencji medycznej bez zgody pacjenta, jeżeli wymaga on niezwłocznej pomocy lekarskiej, a ze względu na stan zdrowia nie może takowej udzielić.","tak, ale tylko pod warunkiem uzyskania zgody sądu opiekuńczego przed podjęciem jakichkolwiek działań.","tak, ale może tylko zlecić badania, natomiast nie wolno mu leczyć.","nie, ponieważ, podejmując taką decyzję, naraża się na zarzut bezprawności działania.",bioetyka_i_prawo_medyczne,,,,
,108,Ograniczenie praw pacjenta z uwagi na możliwości organizacyjne podmiotu udzielającego świadczeń zdrowotnych może dotyczyć:,,"prawa pacjenta do kontaktu osobistego, telefonicznego i korespondencyjnego.",prawa pacjenta do poszanowania intymności i godności.,prawa pacjenta do leczenia bólu.,prawa pacjenta do informacji.,prawa pacjenta do wyrażenia zgody.,bioetyka_i_prawo_medyczne,,,,
